a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,10,32,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,10,32,3
0.1,4.770936773567098,0.4735958348389778,0.05313292845913058,True,2132.24560546875,10,48,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,10,48,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,10,48,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,10,48,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,10,48,3
0.1,4.764966128369176,0.4729260052335328,0.05313292845913058,True,2136.496337890625,10,64,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,10,64,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,10,64,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,10,64,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,10,64,3
0.1,5.004435143700199,0.45284879823702023,0.05313292845913058,True,2262.37353515625,4,72,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,4,72,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,4,72,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,4,72,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,4,72,3
0.1,4.859914430632055,0.44936567582490455,0.05313292845913058,True,2175.27490234375,6,72,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,6,72,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,6,72,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,6,72,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,6,72,3
